brewname,status,type,style,dryhop,brewdate,tilsec,tildryhop,tilbottle,og,secdate,dryhopdate,bottledate,fg,cap,abv,brewgone
American Wheat,Add Bottling Info,Ale,Wheat,no,2014-12-10,14,,14,,2015-01-03,,2015-01-24,,keg,,
Smash Session,Add Bottling Info,Ale,IPA,yes,2014-12-10,14,7,7,,2015-01-03,2015-01-14,2015-01-21,,S,,
Raspberry Wheat,Add Bottling Info,Ale,Wheat,no,2014-12-21,14,,28,,2015-01-03,,2015-01-31,,RW,,
California Common,Add Bottling Info,Lager,Amber,no,2014-12-21,14,,28,,2015-01-03,,2015-01-31,,cc,,
Bridge Burner,Add Bottling Info,Ale,Amber,yes,2015-01-14,14,14,14,,2015-01-28,2015-02-11,2015-02-25,,keg,,
Hopquila Robusto,Add Bottling Info,Ale,IPA,yes,2015-01-14,14,21,7,,2015-01-28,2015-02-18,2015-02-25,,rabbit,,
Phat Tyre,Add Bottling Info,Ale,Amber,no,2015-01-24,14,,28,,2015-02-11,,2015-03-11,,bicycle,,
Speckled Heifer,Add Bottling Info,Ale,Cream,no,2015-01-24,,,14,,2015-01-24,,2015-02-11,,C,,
Tallgrass,Add Bottling Info,Ale,IPA,yes,2015-01-28,14,21,7,,2015-02-11,2015-03-04,2015-03-11,,T,,
Rebel Rye,Add Bottling Info,Porter,Rye,yes,2015-01-28,14,7,14,,2015-02-18,2015-02-25,2015-03-11,,RR,,
Permafrost,Add Bottling Info,Ale,IPA,yes,2015-01-31,14,21,14,,2015-02-18,2015-03-11,2015-03-25,,P,,
Baltic Porter,Add Secondary Date,Porter,Dark,no,2015-02-04,14,,70,,2015-03-01,,,,,,
Irish Blonde,Add Bottling Info,Ale,Blonde,no,2015-02-14,14,,28,,2015-03-01,,2015-03-14,,keg,,
Waldo Lake Amber,Add Secondary Date,Ale,Amber,no,2015-03-18,14,,28,,2015-04-01,,,,,,
Raspberry Wheat,Add Secondary Date,Ale,Fruit,no,2015-03-18,14,,28,,2015-04-01,,,,,,
Taz Devil Pale Ale,Add Brew,Ale,Pale,yes,2015-04-01,14,14,14,,,,,,,,
Private Rye,Add Brew,Ale,Brown,no,2015-04-01,14,,14,,,,,,,,
